country,year,rank,farm,process_group,process,variety,process_family,source_url
Ethiopia,2022,15,Legese,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,16,Butu Gelcha,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,17,Yohannes,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,18,Alemayehu,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,19,Genale Gamada,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,20,Sentayehu,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,21,Desalegn,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,22,Bukku Abele,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,23,Awol,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,24,Fuad,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,25,Tadesse,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,27,Gemeda,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,28,Aberashe,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2022,30,Geno,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2022/
Ethiopia,2024,1A,Basha,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,2A,Mate,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,3,Bukto,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,4,Bekele,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,5,Bekele,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,6,Mitiku,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,7,Sintayehu,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,8,Samuel,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,9,Etenesh,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,10,Mustefa,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,11,Sebeto,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,12,Tesfaye,NA,Natural,74110,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,13,Ermias,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,14,Azalech,NA,Natural,74112,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,15,Belaineh,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,16,Tamru,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,17,Tafo,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,18,Abriham,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,19,Bayene,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
Ethiopia,2024,20,Leikun,NA,Natural,74158,Natural,https://allianceforcoffeeexcellence.org/ethiopia-2024/
